PLAYER_NAME,PLAYER1_ID,FIRST_NAME,LAST_NAME,TS,EFG
Jordan Hamilton,202706,Jordan,Hamilton,0.5028228652081863,0.48571428571428565
Jordan Hill,201941,Jordan,Hill,0.5334626576139672,0.5066666666666666
Jordan McRae,203895,Jordan,McRae,0.5525540275049116,0.5
Jordan Mickey,1626175,Jordan,Mickey,0.39062500000000006,0.35714285714285715
Jorge Gutierrez,203268,Jorge,Gutierrez,0.6944444444444444,0.5555555555555556
Jose Calderon,101181,Jose,Calderon,0.5750605326876513,0.5555555555555556
Josh McRoberts,201177,Josh,McRoberts,0.4568527918781726,0.41428571428571426
Josh Richardson,1626196,Josh,Richardson,0.5761173184357542,0.5576923076923077
Josh Smith,2746,Josh,Smith,0.4393673110720563,0.42063492063492064
Jrue Holiday,201950,Jrue,Holiday,0.5299015897047691,0.4826388888888889
Julius Randle,203944,Julius,Randle,0.4807692307692308,0.4320388349514563
Justin Anderson,1626147,Justin,Anderson,0.5219780219780219,0.46875
Justin Holiday,203200,Justin,Holiday,0.48828125000000006,0.4767441860465116
Justise Winslow,1626159,Justise,Winslow,0.4878048780487805,0.4576271186440678
Jusuf Nurkic,203994,Jusuf,Nurkic,0.45738509593931276,0.4210526315789474
KJ McDaniels,203909,KJ,McDaniels,0.5328596802841918,0.4736842105263158
Karl-Anthony Towns,1626157,Karl-Anthony,Towns,0.586688894588356,0.5531914893617021
Kawhi Leonard,202695,Kawhi,Leonard,0.6190142490072413,0.5695364238410596
Kelly Olynyk,203482,Kelly,Olynyk,0.5595344673231871,0.5308641975308642
Kemba Walker,202689,Kemba,Walker,0.5565615679590967,0.49390243902439024
Kendall Marshall,203088,Kendall,Marshall,0.4538763493621198,0.4230769230769231
Kendrick Perkins,2570,Kendrick,Perkins,0.5415944540727904,0.55
Kenneth Faried,202702,Kenneth,Faried,0.5812872023809523,0.5591397849462365
Kent Bazemore,203145,Kent,Bazemore,0.5482041587901701,0.520618556701031
Kentavious Caldwell-Pope,203484,Kentavious,Caldwell-Pope,0.5208333333333334,0.4801587301587302
Kevin Durant,201142,Kevin,Durant,0.6341068537506745,0.5729166666666667
Kevin Garnett,708,Kevin,Garnett,0.49019607843137253,0.4666666666666666
Kevin Love,201567,Kevin,Love,0.5515719801434087,0.5
Kevin Martin,2755,Kevin,Martin,0.5187416331994645,0.4276315789473684
Kevin Seraphin,202338,Kevin,Seraphin,0.4314159292035398,0.4186046511627907
Khris Middleton,203114,Khris,Middleton,0.5611741489886531,0.503448275862069
Kirk Hinrich,2550,Kirk,Hinrich,0.5115961800818554,0.4821428571428572
Klay Thompson,202691,Klay,Thompson,0.5962659184113965,0.569364161849711
Kobe Bryant,977,Kobe,Bryant,0.4682843763303534,0.4142011834319527
Kosta Koufos,201585,Kosta,Koufos,0.5420918367346939,0.5263157894736842
Kostas Papanikolaou,203123,Kostas,Papanikolaou,0.4779411764705882,0.44000000000000006
Kris Humphries,2743,Kris,Humphries,0.5155456852791879,0.46428571428571425
Kristaps Porzingis,204001,Kristaps,Porzingis,0.5199243746364165,0.46747967479674796
Kyle Anderson,203937,Kyle,Anderson,0.5252100840336135,0.5000000000000001
Kyle Korver,2594,Kyle,Korver,0.5744255744255743,0.5714285714285715
Kyle Lowry,200768,Kyle,Lowry,0.5755864465682016,0.5128205128205129
Kyle O'Quinn,203124,Kyle,O'Quinn,0.5221932114882506,0.488095238095238
Kyle Singler,202713,Kyle,Singler,0.4769921436588103,0.4545454545454546
Kyrie Irving,202681,Kyrie,Irving,0.5389353277606688,0.49397590361445787
LaMarcus Aldridge,200746,LaMarcus,Aldridge,0.5658953722334004,0.5106382978723405
Lamar Patterson,203934,Lamar,Patterson,0.46801872074882994,0.4130434782608696
Lance Stephenson,202362,Lance,Stephenson,0.5457653866386113,0.5072463768115941
Lance Thomas,202498,Lance,Thomas,0.5555555555555555,0.5
Langston Galloway,204038,Langston,Galloway,0.4861821903787103,0.4513888888888889
Lavoy Allen,202730,Lavoy,Allen,0.5298273155416012,0.5106382978723404
LeBron James,2544,LeBron,James,0.5894687791239516,0.5510752688172043
Leandro Barbosa,2571,Leandro,Barbosa,0.5521048999309869,0.5185185185185185
Lorenzo Brown,203485,Lorenzo,Brown,0.3765060240963855,0.33870967741935487
Lou Amundson,200811,Lou,Amundson,0.40983606557377045,0.38888888888888884
Lou Williams,101150,Lou,Williams,0.5852203182374541,0.48543689320388345
Lucas Nogueira,203512,Lucas,Nogueira,0.6395348837209303,0.6666666666666666
Luis Scola,2449,Luis,Scola,0.5188454198473281,0.5
Luke Babbitt,202337,Luke,Babbitt,0.531591737545565,0.5000000000000001
Luol Deng,2736,Luol,Deng,0.5469583778014941,0.5148514851485148
Manu Ginobili,1938,Manu,Ginobili,0.5758157389635317,0.5333333333333333
Marc Gasol,201188,Marc,Gasol,0.5297421496042891,0.4632352941176471
Marcelo Huertas,1626273,Marcelo,Huertas,0.4977876106194691,0.4534883720930233
Marcin Gortat,101162,Marcin,Gortat,0.5904478656403079,0.5686274509803921
Marco Belinelli,201158,Marco,Belinelli,0.5009823182711197,0.45698924731182794
Marcus Morris,202694,Marcus,Morris,0.5302346570397112,0.4915254237288135
Marcus Smart,203935,Marcus,Smart,0.4601537216828479,0.40229885057471265
Marcus Thornton,201977,Marcus,Thornton,0.5120354729729729,0.47752808988764045
Mario Chalmers,201596,Mario,Chalmers,0.5602697998259356,0.4657534246575342
Mario Hezonja,1626209,Mario,Hezonja,0.5438659058487875,0.5094339622641509
Markel Brown,203900,Markel,Brown,0.5034129692832765,0.44230769230769224
Markieff Morris,202693,Markieff,Morris,0.491320013101867,0.45982142857142855
Marreese Speights,201578,Marreese,Speights,0.5068532267275843,0.4523809523809524
Marvin Williams,101107,Marvin,Williams,0.5854683746997599,0.5597826086956522
Mason Plumlee,203486,Mason,Plumlee,0.5614511352418559,0.5238095238095238
Matt Barnes,2440,Matt,Barnes,0.5054589567327133,0.4725274725274725
Matt Bonner,2588,Matt,Bonner,0.6430041152263375,0.6578947368421053
Matthew Dellavedova,203521,Matthew,Dellavedova,0.5284667418263811,0.5
Maurice Harkless,203090,Maurice,Harkless,0.5409060175794457,0.5188679245283019
Meyers Leonard,203086,Meyers,Leonard,0.5636070853462158,0.5492957746478874
Michael Beasley,201563,Michael,Beasley,0.5614035087719298,0.5339805825242718
Michael Carter-Williams,203487,Michael,Carter-Williams,0.4948364888123924,0.4611650485436893
Michael Kidd-Gilchrist,203077,Michael,Kidd-Gilchrist,0.6045316070068545,0.5632183908045978
Mike Conley,201144,Mike,Conley,0.5385806814981695,0.48387096774193544
Mike Dunleavy,2399,Mike,Dunleavy,0.5431502715751358,0.5163934426229508
Mike Miller,2034,Mike,Miller,0.5,0.5384615384615384
Mike Muscala,203488,Mike,Muscala,0.5876068376068376,0.56
Mike Scott,203118,Mike,Scott,0.5792227204783258,0.5399999999999999
Miles Plumlee,203101,Miles,Plumlee,0.6014150943396226,0.6052631578947368
Mirza Teletovic,203141,Mirza,Teletovic,0.5711610486891384,0.5459183673469387
Mo Williams,2590,Mo,Williams,0.5229591836734693,0.49324324324324326
Monta Ellis,101145,Monta,Ellis,0.5036496350364964,0.47222222222222227
Montrezl Harrell,1626149,Montrezl,Harrell,0.6364922206506366,0.6521739130434783
Myles Turner,1626167,Myles,Turner,0.5320247933884297,0.5056818181818181
Nemanja Bjelica,202357,Nemanja,Bjelica,0.5935754189944134,0.5641025641025642
Nerlens Noel,203457,Nerlens,Noel,0.5390442890442889,0.5227272727272726
Nick Collison,2555,Nick,Collison,0.5087209302325582,0.4444444444444445
Nick Young,201156,Nick,Young,0.4856306546035125,0.43478260869565216
Nicolas Batum,201587,Nicolas,Batum,0.5442723553477499,0.504
Nik Stauskas,203917,Nik,Stauskas,0.5180399804973184,0.48666666666666664
Nikola Jokic,203999,Nikola,Jokic,0.5843852267414679,0.5333333333333333
Nikola Mirotic,202703,Nikola,Mirotic,0.5679630342703119,0.5217391304347826
Nikola Vucevic,202696,Nikola,Vucevic,0.5317905563347358,0.5093167701863354
Noah Vonleh,203943,Noah,Vonleh,0.46059365404298874,0.4305555555555556
Norman Powell,1626181,Norman,Powell,0.5401234567901234,0.5
Norris Cole,202708,Norris,Cole,0.4642606867554309,0.43981481481481477
Omer Asik,201600,Omer,Asik,0.5549389567147613,0.5172413793103449
Omri Casspi,201956,Omri,Casspi,0.589292848581702,0.5666666666666667
Orlando Johnson,203111,Orlando,Johnson,0.3436106983655275,0.29591836734693877
PJ Hairston,203798,PJ,Hairston,0.46686746987951805,0.4435483870967742
PJ Tucker,200782,PJ,Tucker,0.509683995922528,0.4647887323943662
