Game,Player Name,Number Shots,Average Shots
213.0,Aaron Brooks,5.0,2.1666666666666665
213.0,Anthony Davis,5.0,3.6666666666666665
214.0,Langston Galloway,3.0,1.6
214.0,Damian Lillard,8.0,3.2
215.0,Mike Conley,4.0,2.0
215.0,Dwyane Wade,3.0,1.8
216.0,Jahlil Okafor,5.0,2.5
216.0,DeMar DeRozan,4.0,1.8
217.0,Gordon Hayward,4.0,2.4
217.0,Kevin Durant,6.0,2.8
218.0,Blake Griffin,4.0,2.4
218.0,Andre Drummond,5.0,2.25
219.0,Tyreke Evans,4.0,2.8
219.0,Mason Plumlee,2.0,1.8
220.0,Kevin Love,4.0,2.2
220.0,Jonas Jerebko,2.0,1.2857142857142858
221.0,DeMarcus Cousins,3.0,1.6666666666666667
221.0,Patrick Beverley,4.0,2.2
222.0,Dwyane Wade,6.0,5.0
222.0,Thaddeus Young,4.0,2.75
223.0,Jonas Jerebko,5.0,3.0
223.0,Reggie Jackson,4.0,1.6
224.0,Carmelo Anthony,7.0,2.2
224.0,Zach LaVine,8.0,3.8
225.0,Jimmy Butler,3.0,1.8
225.0,Mike Conley,6.0,2.75
226.0,Gordon Hayward,3.0,1.6
226.0,Tyreke Evans,5.0,2.75
227.0,O.J. Mayo,2.0,2.0
227.0,Chris Paul,3.0,1.8
228.0,Kemba Walker,3.0,2.0
228.0,Kyle Lowry,8.0,4.0
229.0,LeBron James,5.0,2.0
229.0,Russell Westbrook,5.0,3.3333333333333335
230.0,Joe Johnson,3.0,2.5
230.0,Jordan Hill,4.0,2.0
231.0,Victor Oladipo,3.0,2.6
231.0,Damian Lillard,3.0,2.4
232.0,Evan Turner,3.0,1.8
232.0,Paul Millsap,4.0,3.25
233.0,Gerald Green,3.0,2.0
233.0,Kyle Lowry,5.0,2.2
234.0,Derrick Rose,3.0,1.8333333333333333
234.0,Reggie Jackson,5.0,2.6
235.0,Rudy Gay,4.0,2.4
235.0,Andrew Wiggins,4.0,1.8
236.0,Blake Griffin,3.0,1.6666666666666667
236.0,Tony Parker,6.0,2.3333333333333335
237.0,Gordon Hayward,3.0,2.0
237.0,Jameer Nelson,3.0,1.8333333333333333
238.0,Khris Middleton,4.0,2.8333333333333335
238.0,Stephen Curry,3.0,2.0
239.0,Nicolas Batum,4.0,3.4
239.0,John Wall,4.0,2.5
240.0,Marc Gasol,5.0,3.0
240.0,Jordan Hill,3.0,1.6
241.0,Gerald Green,4.0,2.2
241.0,Damian Lillard,5.0,3.0
242.0,Khris Middleton,4.0,1.8
242.0,Eric Bledsoe,5.0,2.2
243.0,Paul Millsap,3.0,1.6666666666666667
243.0,Nikola Vucevic,3.0,1.5714285714285714
244.0,Darren Collison,4.0,2.2
244.0,DeMar DeRozan,6.0,2.75
245.0,Jameer Nelson,6.0,3.75
245.0,Tyreke Evans,4.0,2.0
246.0,Seth Curry,2.0,1.6666666666666667
246.0,Garrett Temple,4.0,2.4
247.0,Lance Thomas,3.0,1.7142857142857142
247.0,Nikola Vucevic,4.0,3.0
248.0,Jimmy Butler,5.0,2.0
248.0,Joe Johnson,5.0,2.5
249.0,Jeremy Lin,3.0,1.6666666666666667
249.0,James Harden,4.0,2.5
250.0,Blake Griffin,5.0,2.6
250.0,Russell Westbrook,4.0,3.0
251.0,Dwyane Wade,6.0,2.2
251.0,Reggie Jackson,4.0,2.4
252.0,Kobe Bryant,7.0,3.0
252.0,Gary Harris,4.0,2.4
253.0,LeBron James,3.0,1.4
253.0,Arron Afflalo,6.0,3.0
254.0,Rudy Gay,4.0,2.0
254.0,CJ Miles,4.0,2.2
255.0,Nikola Vucevic,3.0,2.25
255.0,Ty Lawson,3.0,2.2
256.0,Mike Conley,2.0,1.6
256.0,John Wall,5.0,2.4
257.0,Charlie Villanueva,5.0,3.0
257.0,Thaddeus Young,4.0,2.4
258.0,Randy Foye,4.0,2.2
258.0,Ronnie Price,3.0,2.0
259.0,Derrick Favors,3.0,1.5714285714285714
259.0,Draymond Green,3.0,1.6666666666666667
260.0,Chris Bosh,4.0,2.75
260.0,Ryan Anderson,3.0,1.8333333333333333
261.0,LeBron James,6.0,3.5
261.0,Stephen Curry,4.0,3.0
262.0,James Harden,5.0,2.3333333333333335
262.0,Kawhi Leonard,5.0,3.0
263.0,Michael Carter-Williams,4.0,3.0
263.0,Luis Scola,3.0,2.2
264.0,Mike Conley,6.0,3.25
264.0,Kemba Walker,3.0,2.3333333333333335
265.0,Dwyane Wade,5.0,2.25
265.0,Elfrid Payton,7.0,3.0
266.0,Tyreke Evans,2.0,1.5
266.0,James Harden,4.0,2.25
267.0,Jae Crowder,3.0,1.8
267.0,Marcus Morris,5.0,3.2
268.0,Jarrett Jack,3.0,1.3333333333333333
268.0,Ramon Sessions,4.0,2.3333333333333335
269.0,Monta Ellis,4.0,2.75
269.0,Andrew Wiggins,7.0,3.0
270.0,Derrick Rose,6.0,2.75
270.0,Jose Juan Barea,3.0,1.7142857142857142
271.0,Chris Paul,4.0,2.4
271.0,Rodney Hood,6.0,2.6
272.0,Isaiah Thomas,4.0,2.0
272.0,Carmelo Anthony,6.0,2.3333333333333335
273.0,Kenneth Faried,4.0,2.4
