Game,Player Name,Number Shots,Average Shots,HOME_TEAM,AWAY_TEAM,FIRST_INDEX,LAST_INDEX,Best_Player
90.0,Jahlil Okafor,3.0,1.3333333333333333,Mavericks,76ers,6813.0,6884.0,Dirk Nowitzki
90.0,Wesley Matthews,3.0,2.25,Mavericks,76ers,6813.0,6884.0,Jahlil Okafor
91.0,Jimmy Butler,5.0,2.4,Bulls,Pacers,6885.0,6962.0,Pau Gasol
91.0,Paul George,4.0,2.25,Bulls,Pacers,6885.0,6962.0,Paul George
92.0,Marc Gasol,4.0,2.25,Grizzlies,Thunder,6963.0,7039.0,Mike Conley
92.0,Russell Westbrook,5.0,2.6666666666666665,Grizzlies,Thunder,6963.0,7039.0,Russell Westbrook
93.0,Manu Ginobili,4.0,2.2,Trail Blazers,Spurs,7040.0,7089.0,Damian Lillard
93.0,Damian Lillard,6.0,2.6,Trail Blazers,Spurs,7040.0,7089.0,Kawhi Leonard
94.0,Thabo Sefolosha,3.0,2.4,Hawks,Nets,7090.0,7169.0,Paul Millsap
94.0,Joe Johnson,4.0,3.0,Hawks,Nets,7090.0,7169.0,Brook Lopez
95.0,LeBron James,3.0,2.0,Cavaliers,Pistons,7170.0,7254.0,LeBron James
95.0,Reggie Jackson,5.0,2.5,Cavaliers,Pistons,7170.0,7254.0,Andre Drummond
96.0,Luol Deng,3.0,2.4,Heat,Timberwolves,7255.0,7339.0,Hassan Whiteside
96.0,Zach LaVine,4.0,2.4,Heat,Timberwolves,7255.0,7339.0,Karl-Anthony Towns
97.0,Nicolas Batum,4.0,2.2,Hornets,Knicks,7340.0,7405.0,Kemba Walker
97.0,Arron Afflalo,4.0,2.4,Hornets,Knicks,7340.0,7405.0,Carmelo Anthony
98.0,Jameer Nelson,4.0,2.75,Nuggets,Pelicans,7406.0,7458.0,Nikola Jokic
98.0,Jrue Holiday,4.0,2.2,Nuggets,Pelicans,7406.0,7458.0,Jrue Holiday
99.0,DeMar DeRozan,4.0,1.8333333333333333,Warriors,Raptors,7459.0,7554.0,Stephen Curry
99.0,Stephen Curry,4.0,1.8,Warriors,Raptors,7459.0,7554.0,Jonas Valanciunas
100.0,Jeremy Lin,3.0,2.2,Nets,Hornets,7555.0,7647.0,Brook Lopez
100.0,Thaddeus Young,4.0,3.2,Nets,Hornets,7555.0,7647.0,Kemba Walker
101.0,Andrew Nicholson,5.0,3.75,Timberwolves,Magic,7648.0,7730.0,Karl-Anthony Towns
